UID,Managing a Quality Service,Delivering at Pace,Leadership,Seeing the Big Picture,Working Together,Communicating and Influencing,Making Effective Decisions,Changing and Improving,Developing Self and Others
327088,False,False,True,True,True,True,True,False,False
325901,False,False,True,True,True,True,True,False,False
324925,False,False,True,True,True,True,True,False,False
326824,False,False,True,True,True,True,True,False,False
326293,False,False,True,True,True,True,True,False,False
329065,False,False,True,True,True,True,True,False,False
325691,False,False,True,True,True,True,True,False,False
326045,False,False,True,True,True,True,True,False,False
326493,False,False,True,True,True,True,True,False,False
326869,False,False,True,True,True,True,True,False,False
327033,False,False,True,True,True,True,True,False,False
326542,False,False,True,True,True,True,True,False,False
326709,False,False,True,True,True,True,True,False,False
326738,False,False,True,True,True,True,True,False,False
326362,False,False,True,True,True,True,True,False,False
310262,False,False,True,True,True,True,True,False,False
326314,False,False,True,True,True,True,True,False,False
326893,False,False,True,True,True,True,True,False,False
326794,False,False,True,True,True,True,True,False,False
324770,False,False,True,True,True,True,True,False,False
326882,False,False,True,True,True,True,True,False,False
325337,False,False,True,True,True,True,True,False,False
326784,False,False,True,True,True,True,True,False,False
326831,False,False,True,True,True,True,True,False,False
326814,False,False,True,True,True,True,True,False,False
326370,False,False,True,True,True,True,True,False,False
323828,False,False,True,True,True,True,True,False,False
326813,False,False,True,True,True,True,True,False,False
325703,False,False,True,True,True,True,True,False,False
325333,False,False,True,True,True,True,True,False,False
281597,False,False,True,True,True,True,True,False,False
326795,False,False,True,True,True,True,True,False,False
326764,False,False,True,True,True,True,True,False,False
326200,False,False,True,True,True,True,True,False,False
323835,False,False,True,True,True,True,True,False,False
326744,False,False,True,True,True,True,True,False,False
326727,False,False,True,True,True,True,True,False,False
321563,False,False,True,True,True,True,True,False,False
326177,False,False,True,True,True,True,True,False,False
326386,False,False,True,True,True,True,True,False,False
326673,False,False,True,True,True,True,True,False,False
326675,False,False,True,True,True,True,True,False,False
326563,False,False,True,True,True,True,True,False,False
326652,False,False,True,True,True,True,True,False,False
326396,False,False,True,True,True,True,True,False,False
324841,False,False,True,True,True,True,True,False,False
324359,False,False,True,True,True,True,True,False,False
326648,False,False,True,True,True,True,True,False,False
324957,False,False,True,True,True,True,True,False,False
326042,False,False,True,True,True,True,True,False,False
324623,False,False,True,True,True,True,True,False,False
325904,False,False,True,True,True,True,True,False,False
324774,False,False,True,True,True,True,True,False,False
326621,False,False,True,True,True,True,True,False,False
326539,False,False,True,True,True,True,True,False,False
326531,False,False,True,True,True,True,True,False,False
326506,False,False,True,True,True,True,True,False,False
326476,False,False,True,True,True,True,True,False,False
322737,False,False,True,True,True,True,True,False,False
326429,False,False,True,True,True,True,True,False,False
326323,False,False,True,True,True,True,True,False,False
326289,False,False,True,True,True,True,True,False,False
326086,False,False,True,True,True,True,True,False,False
325867,False,False,True,True,True,True,True,False,False
325852,False,False,True,True,True,True,True,False,False
324753,False,False,True,True,True,True,True,False,False
325347,False,False,True,True,True,True,True,False,False
324773,False,False,True,True,True,True,True,False,False
325458,False,False,True,True,True,True,True,False,False
325277,False,False,True,True,True,True,True,False,False
325410,False,False,True,True,True,True,True,False,False
325401,False,False,True,True,True,True,True,False,False
325374,False,False,True,True,True,True,True,False,False
314120,False,False,True,True,True,True,True,False,False
324678,False,False,True,True,True,True,True,False,False
325293,False,False,True,True,True,True,True,False,False
324694,False,False,True,True,True,True,True,False,False
324319,False,False,True,True,True,True,True,False,False
324644,False,False,True,True,True,True,True,False,False
323021,False,False,True,True,True,True,True,False,False
323158,False,False,True,True,True,True,True,False,False
323089,False,False,True,True,True,True,True,False,False
324107,False,False,True,True,True,True,True,False,False
321344,False,False,True,True,True,True,True,False,False
321097,False,False,True,True,True,True,True,False,False
320421,False,False,True,True,True,True,True,False,False
